ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2020,2020,155441,3252,Louisiana,04000US22,louisiana,0.08872426
1,"$10,000-$14,999",2020,2020,96888,2422,Louisiana,04000US22,louisiana,0.055302759
2,"$15,000-$19,999",2020,2020,99022,3013,Louisiana,04000US22,louisiana,0.056520826
3,"$20,000-$24,999",2020,2020,114060,3591,Louisiana,04000US22,louisiana,0.065104375
4,"$25,000-$29,999",2020,2020,94619,2902,Louisiana,04000US22,louisiana,0.054007635
5,"$30,000-$34,999",2020,2020,84128,1945,Louisiana,04000US22,louisiana,0.048019471
6,"$35,000-$39,999",2020,2020,74276,2435,Louisiana,04000US22,louisiana,0.042396042
7,"$40,000-$44,999",2020,2020,75120,2367,Louisiana,04000US22,louisiana,0.042877789
8,"$45,000-$49,999",2020,2020,69140,2561,Louisiana,04000US22,louisiana,0.039464461
9,"$50,000-$59,999",2020,2020,133413,3581,Louisiana,04000US22,louisiana,0.076150885
10,"$60,000-$74,999",2020,2020,151853,3709,Louisiana,04000US22,louisiana,0.086676264
11,"$75,000-$99,999",2020,2020,199702,4450,Louisiana,04000US22,louisiana,0.113988023
12,"$100,000-$124,999",2020,2020,138850,3403,Louisiana,04000US22,louisiana,0.079254274
13,"$125,000-$149,999",2020,2020,88853,3024,Louisiana,04000US22,louisiana,0.050716456
14,"$150,000-$199,999",2020,2020,93472,2664,Louisiana,04000US22,louisiana,0.053352938
15,"$200,000+",2020,2020,83119,2516,Louisiana,04000US22,louisiana,0.047443543
0,"< $10,000",2020,2020,7145751,24748,United States,01000US,united-states,0.058402163
1,"$10,000-$14,999",2020,2020,5020097,17141,United States,01000US,united-states,0.04102921
2,"$15,000-$19,999",2020,2020,5030224,16026,United States,01000US,united-states,0.041111978
3,"$20,000-$24,999",2020,2020,5329476,20676,United States,01000US,united-states,0.043557762
4,"$25,000-$29,999",2020,2020,5187269,18811,United States,01000US,united-states,0.042395506
5,"$30,000-$34,999",2020,2020,5382215,20154,United States,01000US,united-states,0.043988798
6,"$35,000-$39,999",2020,2020,4960174,20596,United States,01000US,united-states,0.04053946
7,"$40,000-$44,999",2020,2020,5128434,16706,United States,01000US,united-states,0.041914648
8,"$45,000-$49,999",2020,2020,4601774,18581,United States,01000US,united-states,0.03761026
9,"$50,000-$59,999",2020,2020,9122890,26253,United States,01000US,united-states,0.074561303
10,"$60,000-$74,999",2020,2020,11911889,32548,United States,01000US,united-states,0.097355768
11,"$75,000-$99,999",2020,2020,15613243,47722,United States,01000US,united-states,0.1276069034
12,"$100,000-$124,999",2020,2020,11455250,46295,United States,01000US,united-states,0.093623662
13,"$125,000-$149,999",2020,2020,7673688,38871,United States,01000US,united-states,0.062716987
14,"$150,000-$199,999",2020,2020,8688154,41715,United States,01000US,united-states,0.071008209
15,"$200,000+",2020,2020,10103691,51548,United States,01000US,united-states,0.082577381
11,"$75,000-$99,999",2020,2020,39794,1583,District 1,50000US2201,congressional-district-1-la,0.1311048734
0,"< $10,000",2020,2020,34705,1478,District 2,50000US2202,congressional-district-2-la,0.1170102293
11,"$75,000-$99,999",2020,2020,36202,1914,District 3,50000US2203,congressional-district-3-la,0.1216293399
11,"$75,000-$99,999",2020,2020,28996,1695,District 4,50000US2204,congressional-district-4-la,0.101276257
0,"< $10,000",2020,2020,30440,1260,District 5,50000US2205,congressional-district-5-la,0.1116801925
11,"$75,000-$99,999",2020,2020,38872,1749,District 6,50000US2206,congressional-district-6-la,0.131627601